ID,법정동코드,행정구역명,인구
1,11110,서울 종로구,149384
2,11140,서울 중구,125240
3,11170,서울 용산구,230040
4,11200,서울 성동구,293556
5,11215,서울 광진구,346682
6,11230,서울 동대문구,342837
7,11260,서울 중랑구,394702
8,11290,서울 성북구,437153
9,11305,서울 강북구,308055
10,11320,서울 도봉구,325257
11,11350,서울 노원구,523037
12,11380,서울 은평구,479835
13,11410,서울 서대문구,312173
14,11440,서울 마포구,371890
15,11470,서울 양천구,454251
16,11500,서울 강서구,580185
17,11530,서울 구로구,404408
18,11545,서울 금천구,231733
19,11560,서울 영등포구,379480
20,11590,서울 동작구,391220
21,11620,서울 관악구,495060
22,11650,서울 서초구,425126
23,11680,서울 강남구,539231
24,11710,서울 송파구,667960
25,11740,서울 강동구,459970
26,26110,부산 중구,41523
27,26140,부산 서구,108135
28,26170,부산 동구,88901
29,26200,부산 영도구,113342
30,26230,부산 부산진구,359886
31,26260,부산 동래구,270745
32,26290,부산 남구,267731
33,26320,부산 북구,283952
34,26350,부산 해운대구,402169
35,26380,부산 사하구,311757
36,26410,부산 금정구,232666
37,26440,부산 강서구,137957
38,26470,부산 연제구,209157
39,26500,부산 수영구,176894
40,26530,부산 사상구,212586
41,26710,부산 기장군,174545
42,27110,대구 중구,76547
43,27140,대구 동구,341920
44,27170,대구 서구,170700
45,27200,대구 남구,146632
46,27230,대구 북구,440263
47,27260,대구 수성구,424314
48,27290,대구 달서구,558631
49,27710,대구 달성군,259339
50,28110,인천 중구,139729
51,28140,인천 동구,62542
52,28177,인천 미추홀구,404343
53,28185,인천 연수구,387450
54,28200,인천 남동구,525354
55,28237,인천 부평구,494962
56,28245,인천 계양구,296750
57,28260,인천 서구,542040
58,28710,인천 강화군,69203
59,28720,인천 옹진군,20455
60,29110,광주 동구,102897
61,29140,광주 서구,296576
62,29155,광주 남구,214579
63,29170,광주 북구,430431
64,29200,광주 광산구,405579
65,30110,대전 동구,223021
66,30140,대전 중구,235550
67,30170,대전 서구,477880
68,30200,대전 유성구,351047
69,30230,대전 대덕구,176384
70,31110,울산 중구,217595
71,31140,울산 남구,320064
72,31170,울산 동구,156806
73,31200,울산 북구,219014
74,31710,울산 울주군,222538
75,36110,세종,355831
76,41111,수원 장안구,273661
77,41113,수원 권선구,368645
78,41115,수원 팔달구,174930
79,41117,수원 영통구,368842
80,41131,성남 수정구,241701
81,41133,성남 중원구,216131
82,41135,성남 분당구,482232
83,41150,의정부,461710
84,41171,안양 만안구,239413
85,41173,안양 동안구,310614
86,41190,부천,818383
87,41210,광명,298599
88,41220,평택,537307
89,41250,동두천,94353
90,41271,안산 상록구,351888
91,41273,안산 단원구,303027
92,41281,고양 덕양구,476962
93,41285,고양 일산동구,299716
94,41287,고양 일산서구,302538
95,41290,과천,63231
96,41310,구리,197454
97,41360,남양주,713321
98,41370,오산,229725
99,41390,시흥,500895
100,41410,군포,273791
101,41430,의왕,163795
102,41450,하남,293452
103,41461,용인 처인구,257498
104,41463,용인 기흥구,440835
105,41465,용인 수지구,375843
106,41480,파주,465617
107,41500,이천,218388
108,41550,안성,187012
109,41570,김포,473970
110,41590,화성,855248
111,41610,광주,382054
112,41630,양주,230359
113,41650,포천,147274
114,41670,여주,111897
115,41800,연천,43516
116,41820,가평,62377
117,41830,양평,118810
118,42110,춘천,282765
119,42130,원주,354376
120,42150,강릉,213321
121,42170,동해,90593
122,42190,태백,42719
123,42210,속초,82665
124,42230,삼척,65243
125,42720,홍천,69242
126,42730,횡성,46472
127,42750,영월,38662
128,42760,평창,41681
129,42770,정선,36870
130,42780,철원,44699
131,42790,화천,24857
132,42800,양구,22278
133,42810,인제,31694
134,42820,강원 고성,26757
135,42830,양양,27946
136,43111,청주 상당구,190034
137,43112,청주 서원구,194720
138,43113,청주 흥덕구,265866
139,43114,청주 청원구,194373
140,43130,충주,210186
141,43150,제천,133018
142,43720,보은,32412
143,43730,옥천,50527
144,43740,영동,47475
145,43745,증평,36807
146,43750,진천,83718
147,43760,괴산,39393
148,43770,음성,93153
149,43800,단양,29155
150,44131,천안 동남구,258009
151,44133,천안 서북구,400799
152,44150,공주,104545
153,44180,보령,100229
154,44200,아산,316129
155,44210,서산,175591
156,44230,논산,116675
157,44250,계룡,42822
158,44270,당진,166249
159,44710,금산,51413
160,44760,부여,65354
161,44770,서천,51866
162,44790,청양,30948
163,44800,홍성,100102
164,44810,예산,78084
165,44825,태안,62214
166,45111,전주 완산구,339718
167,45113,전주 덕진구,317714
168,45130,군산,267859
169,45140,익산,282276
170,45180,정읍,108508
171,45190,남원,80662
172,45210,김제,82450
173,45710,완주,91609
174,45720,진안,25394
175,45730,무주,24036
176,45740,장수,22085
177,45750,임실,27314
178,45770,순창,27810
179,45790,고창,54529
180,45800,부안,52140
181,46110,목포,224044
182,46130,여수,280242
183,46150,순천,282189
184,46170,나주,115613
185,46230,광양,151769
186,46710,담양,46280
187,46720,곡성,28039
188,46730,구례,25719
189,46770,고흥,63922
190,46780,보성,40482
191,46790,화순,62522
192,46800,장흥,37800
193,46810,강진,34597
194,46820,해남,68806
195,46830,영암,53699
196,46840,무안,86132
197,46860,함평,32050
198,46870,영광,53099
199,46880,장성,44464
200,46890,완도,49916
201,46900,진도,31227
202,46910,신안,38938
203,47111,포항 남구,230422
204,47113,포항 북구,272494
205,47130,경주,253502
206,47150,김천,140548
